id,level,difficulty,question,debit_accounts,debit_amounts,credit_accounts,credit_amounts,account_pool,explanation
1,3級,初級,現金50000円を元入れして開業した。,現金,50000,資本金,50000,現金|資本金|普通預金|借入金,元入れ(出資)を受けたので現金が増加し資本金が増加する。
2,3級,初級,商品30000円を仕入れ、代金は現金で支払った。,仕入,30000,現金,30000,仕入|現金|買掛金|売上,商品を仕入れたので仕入(費用)が増加し、現金で支払ったので現金が減少する。
3,3級,初級,商品50000円を売り上げ、代金は現金で受け取った。,現金,50000,売上,50000,現金|売上|売掛金|仕入,商品を売り上げ現金を受け取ったので現金が増加し売上(収益)が増加する。
4,3級,初級,普通預金口座に現金100000円を預け入れた。,普通預金,100000,現金,100000,普通預金|現金|当座預金|定期預金,現金を預金口座に預け入れたので普通預金が増加し現金が減少する。
5,3級,中級,商品80000円を仕入れ、代金は掛けとした。,仕入,80000,買掛金,80000,仕入|買掛金|現金|売掛金,掛けで仕入れたので仕入(費用)が増加し、支払義務である買掛金(負債)が増加する。
6,3級,中級,得意先に商品120000円を売り上げ、代金は掛けとした。,売掛金,120000,売上,120000,売掛金|売上|買掛金|仕入,掛けで売り上げたので代金を受け取る権利である売掛金(資産)が増加し売上(収益)が増加する。
7,3級,中級,買掛金60000円を現金で支払った。,買掛金,60000,現金,60000,買掛金|現金|売掛金|仕入,買掛金(負債)を支払ったので買掛金が減少し、現金で支払ったので現金が減少する。
8,3級,中級,売掛金90000円を現金で回収した。,現金,90000,売掛金,90000,現金|売掛金|買掛金|受取手形,売掛金(資産)を現金で回収したので現金が増加し売掛金が減少する。
9,3級,中級,銀行から現金200000円を借り入れた。,現金,200000,借入金,200000,現金|借入金|貸付金|普通預金,現金を借り入れたので現金(資産)が増加し借入金(負債)が増加する。
10,3級,上級,備品150000円を購入し、代金は現金で支払った。,備品,150000,現金,150000,備品|現金|建物|消耗品費,備品(固定資産)を現金で購入したので備品が増加し現金が減少する。
11,3級,上級,従業員に給料100000円を現金で支払った。,給料,100000,現金,100000,給料|現金|広告宣伝費|支払手数料,給料(費用)を現金で支払ったので給料が増加し現金が減少する。
12,3級,上級,家賃30000円を現金で受け取った。,現金,30000,受取家賃,30000,現金|受取家賃|支払家賃|売上,家賃を受け取ったので現金が増加し受取家賃(収益)が増加する。
13,2級,中級,約束手形120000円を振り出して商品を仕入れた。,仕入,120000,支払手形,120000,仕入|支払手形|買掛金|受取手形,手形を振り出して仕入れたので仕入(費用)が増加し支払手形(負債)が増加する。
14,2級,中級,得意先振出の約束手形80000円を受け取り、商品を売り上げた。,受取手形,80000,売上,80000,受取手形|売上|売掛金|支払手形,約束手形を受け取ったので受取手形(資産)が増加し売上(収益)が増加する。
15,2級,上級,決算にあたり、備品(取得原価500000円)について定額法(耐用年数5年、残存価額0円)により減価償却費を計上した。,減価償却費,100000,減価償却累計額,100000,減価償却費|減価償却累計額|備品|支払家賃,500000円÷5年=100000円が当期の減価償却費となり、間接法のため減価償却累計額を貸方に計上する。
16,2級,上級,売掛金200000円が貸し倒れとなり、貸倒引当金を50000円設定していたためこれを充当し、残額は貸倒損失として処理した。,貸倒引当金;貸倒損失,50000;150000,売掛金,200000,貸倒引当金|貸倒損失|売掛金|貸倒引当金繰入,貸倒引当金の範囲内は貸倒引当金を取り崩し、超過額は貸倒損失(費用)として処理する。
17,2級,上級,当座預金口座から法人税等150000円を納付した。,法人税等,150000,当座預金,150000,法人税等|当座預金|租税公課|未払法人税等,法人税等(費用)を計上し、当座預金を減少させる。
18,2級,中級,商品100000円をクレジットカード払いの条件で売り上げた。なお、信販会社への手数料(売上の3%)を販売時に計上する。,クレジット売掛金;支払手数料,97000;3000,売上,100000,クレジット売掛金|支払手数料|売上|売掛金,クレジット売掛金は手数料を差し引いた97000円、支払手数料は3000円を借方に計上し、売上は総額100000円を貸方に計上する。
